"Gene","Alias"
"CASP3","CASP3"
"GRIP2","GRIP2"
"CHD9","CHD9"
"ALDH3B1","ALDH3B1"
"DDC","DDC"
"TTLL11","TTLL11;C9orf148;C9orf20;TTLL11-IT1;bA244O19.1"
"POLA1","POLA1"
"VPS45","VPS45"
"CHST13","CHST13"
"OPRK1","OPRK1"
"AP2B1","AP2B1"
"FGA","FGA;AMYLD2;Fib2"
"OR56A5","OR56A5"
"SCNN1D","SCNN1D"
"SPCS2","SPCS2"
"FGF2","FGF2"
"PPP1R13L","PPP1R13L"
"SHFM1","SHFM1;SHFM1D"
"ERCC5","ERCC5"
"CACNB2","CACNB2"
"PLK2","PLK2"
"DSCAM","DSCAM"
"GMPPA","GMPPA"
"SNX10","SNX10;OPTB8"
"RYK","RYK"
"HNRNPDL","HNRNPDL"
"NR2C1","NR2C1"
"ANOS1","ANOS1"
"TKFC","TKFC"
"PSMB3","PSMB3;HC10-II"
"SYNJ2BP-COX16","SYNJ2BP-COX16"
"LDHAL6A","LDHAL6A"
"NDUFC2-KCTD14","NDUFC2-KCTD14"
"WNT5A","WNT5A"
"ANAPC16","ANAPC16"
"KDM6A","KDM6A;KABUK2;UTX;bA386N14.2"
"CREB3L2","CREB3L2"
"CYP1B1","CYP1B1"
"MATK","MATK"
"MYC","MYC"
"NAPRT","NAPRT;NAPRT1;PP3856"
"ARID1A","ARID1A"
"UROS","UROS"
"TYW1","TYW1"
"CBY1","CBY1"
"PRAMEF25","PRAMEF25"
"AR","AR"
"SNX5","SNX5"
"PIAS2","PIAS2"
"CACNA1C","CACNA1C"
"SPTBN1","SPTBN1;DDISBA;ELF;HEL102;SPTB2;betaSpII"
"DGKD","DGKD"
"A0A087WV05","A0A087WV05"
"TRPV6","TRPV6"
"WBSCR17","WBSCR17"
"AMBN","AMBN;AI1F"
"PIK3C2G","PIK3C2G"
"KCNMB3","KCNMB3"
"SENP3","SENP3"
"CNN2","CNN2"
"UBXN8","UBXN8;D8S2298E;REP8;UBXD6"
"PER3","PER3"
"NOP2","NOP2"
"MVD","MVD"
"BORA","BORA"
"EIF3K","EIF3K;ARG134;EIF3-p28;EIF3S12;HSPC029;M9;MSTP001;PLAC-24;PLAC24;PRO1474;PTD001"
"IVD","IVD"
"AS3MT","AS3MT"
"ANTXRL","ANTXRL"
"VWCE","VWCE"
