"Gene","Alias"
"DDIT3","DDIT3"
"ATP6AP1","ATP6AP1"
"TTC8","TTC8;BBS8;RP51"
"ENOPH1","ENOPH1"
"YARS","YARS;CMTDIC;IMNEPD2;TYRRS;YRS;YTS"
"RRM2B","RRM2B"
"ESCO1","ESCO1"
"SEC16A","SEC16A"
"TBXAS1","TBXAS1"
"PIGP","PIGP;DCRC;DCRC-S;DEE55;DSCR5;DSRC;EIEE55;PIG-P"
"MPP2","MPP2"
"STT3A","STT3A"
"RNASEK","RNASEK"
"CRY2","CRY2"
"NRXN1","NRXN1;Hs.22998;PTHSL2;SCZD17"
"PLAGL1","PLAGL1"
"CAPZA2","CAPZA2"
"PPP2R2A","PPP2R2A"
"FER","FER"
"PKP4","PKP4;p0071"
"NRG1","NRG1"
"CHD2","CHD2"
"KMT5C","KMT5C"
"APBA1","APBA1"
"ADH4","ADH4;ADH-2;HEL-S-4"
"LMNB1","LMNB1"
"COQ6","COQ6"
"MYO18A","MYO18A"
"SHPRH","SHPRH"
"POLG","POLG;MDP1;MIRAS;MTDPS4A;MTDPS4B;PEO;POLG1;POLGA;SANDO;SCAE"
"NTRK3","NTRK3"
"OGDH","OGDH"
"BPI","BPI"
"FMO2","FMO2;FMO1B1"
"EDNRB","EDNRB"
"ATP6V1H","ATP6V1H"
"EIF3D","EIF3D"
"TATDN1","TATDN1"
"SYNJ1","SYNJ1"
"CDKN1C","CDKN1C;BWCR;BWS;KIP2;WBS;p57;p57Kip2"
"HLA-C","HLA-C"
"DIAPH1","DIAPH1"
"PPP1R18","PPP1R18"
"GTF2H4","GTF2H4"
"GABBR1","GABBR1"
"C4B_2","C4B_2;C4B1;C4B12;C4B2;C4B3;C4B5;C4BD;C4F;CH;CO4;CPAMD3"
"SPAG11B","SPAG11B"
"DLGAP2","DLGAP2"
"CSNK2B","CSNK2B"
"DRD4","DRD4"
"MUC2","MUC2"
"APOL5","APOL5;APOL-V;APOLV"
"OCLN","OCLN"
"MARVELD2","MARVELD2"
"MUC6","MUC6"
"KANSL1","KANSL1"
"TTYH1","TTYH1"
"RAD17","RAD17;CCYC;HRAD17;R24L;RAD17SP;RAD24"
"TPO","TPO"
"SLC12A7","SLC12A7"
"GAL3ST2","GAL3ST2"
"LSS","LSS"
"OPRL1","OPRL1"
"ADI1","ADI1;APL1;ARD;ARD';Fe-ARD;HMFT1638;MTCBP1;Ni-ARD;SIPL;mtnD"
"A0A0G2JQX8","A0A0G2JQX8"
"PANK4","PANK4"
"SMARCB1","SMARCB1"
"PHACTR4","PHACTR4"
"TBCD","TBCD"
"A0A0J9YVX5","A0A0J9YVX5"
"RBM8A","RBM8A;BOV-1A;BOV-1B;BOV-1C;C1DELq21.1;DEL1q21.1;MDS014;RBM8;RBM8B;TAR;Y14;ZNRP;ZRNP1"
"STMN3","STMN3"
"CNTNAP2","CNTNAP2"
"PTDSS2","PTDSS2"
"TSTA3","TSTA3"
"GRK1","GRK1"
"PON2","PON2"
"NPHP3-ACAD11","NPHP3-ACAD11"
"GPCPD1","GPCPD1"
"INPP5F","INPP5F"
"CENPV","CENPV"
"GLYATL1P3","GLYATL1P3"
"QARS","QARS;EARS;EPRS;GLUPRORS;HLD15;PARS;PIG32;QPRS"
"FASN","FASN"
"EP300","EP300"
"PAH","PAH"
"KIAA1217","KIAA1217"
"LRRC16A","LRRC16A"
"HCN1","HCN1;BCNG-1;BCNG1;DEE24;EIEE24;GEFSP10;HAC-2"
"EFEMP1","EFEMP1"
"ROCK1","ROCK1"
"ATRIP","ATRIP"
"CDC14A","CDC14A"
"CBL","CBL"
"ELL2","ELL2;MRCCAT1"
"ATP6V1C2","ATP6V1C2"
"SESN3","SESN3"
"PRG4","PRG4"
"PACSIN2","PACSIN2"
"BAG1","BAG1"
"UNC13B","UNC13B;MUNC13;UNC13;Unc13h2;munc13-2"
"ERN2","ERN2"
"IP6K3","IP6K3"
"LCE6A","LCE6A"
"GAS2L1","GAS2L1"
"SLC12A8","SLC12A8"
"RBM47","RBM47;NET18"
"TTC26","TTC26"
"TMEM129","TMEM129"
"E2F8","E2F8"
"UBA6","UBA6"
"ESYT2","ESYT2"
"IGLC7","IGLC7;C7"
"SHTN1","SHTN1"
"PLSCR5","PLSCR5"
"SLC5A10","SLC5A10"
"DAPL1","DAPL1"
"FEZF1","FEZF1"
"GXYLT2","GXYLT2;GLT8D4"
"TMEM120B","TMEM120B"
"IRGM","IRGM"
"ANO9","ANO9"
"SLC22A23","SLC22A23"
"ODAM","ODAM;APIN"
"PXDNL","PXDNL;PMR1;PRM1;VPO2"
"UBE2QL1","UBE2QL1"
"SYCE3","SYCE3"
"ELOVL7","ELOVL7"
"SSC5D","SSC5D"
"SH3PXD2B","SH3PXD2B;FAD49;FTHS;HOFI;KIAA1295;TKS4;TSK4"
"ZBTB7C","ZBTB7C"
"MACROD2","MACROD2"
"ZC3H12D","ZC3H12D"
"AP5S1","AP5S1"
"GNAS","GNAS;AHO;AIMAH1;C20orf45;GNAS1;GPSA;GSA;GSP;NESP;PITA3;POH;SCG6;SgVI"
"ADGRB2","ADGRB2"
"PFDN6","PFDN6"
"EHMT2","EHMT2"
"ARHGDIG","ARHGDIG"
"MPG","MPG;AAG;ADPG;APNG;CRA36.1;MDG;Mid1;PIG11;PIG16;anpg"
"CCDC78","CCDC78"
"HFM1","HFM1"
"NIPBL","NIPBL"
"NBAS","NBAS"
"TARSL2","TARSL2;ThrRS-L"
"TESPA1","TESPA1"
"HYKK","HYKK"
"HMX2","HMX2"
"CCDC66","CCDC66"
"TYW5","TYW5;C2orf60;hTYW5"
"ADRA2B","ADRA2B"
"DENND3","DENND3"
"DAOA","DAOA"
"FUOM","FUOM;C10orf125;FUCU;FucM"
"KIAA0922","KIAA0922"
"AURKA","AURKA"
"EXOSC2","EXOSC2"
"BRF1","BRF1"
"ISPD","ISPD;LGMDR20;MDDGA7;MDDGC7;Nip;hISPD"
"GSAP","GSAP"
"GTPBP10","GTPBP10"
"PRSS37","PRSS37"
"CDC14C","CDC14C"
"PMS2P1","PMS2P1;PMS2L1;PMS2L13;PMS2L6;PMS2L7;PMS2L8;PMS3;PMS8;PMSR1;PMSR2"
"OR2A25","OR2A25"
"GRID2IP","GRID2IP"
"LRP5L","LRP5L"
"XIRP2","XIRP2"
"POTEF","POTEF;A26C1B;ACTB;POTE2alpha;POTEACTIN"
"FITM1","FITM1"
"VPS37C","VPS37C"
"CCDC151","CCDC151"
"GADD45A","GADD45A"
"PSMB11","PSMB11;BETA5T"
"PSD","PSD"
"MYST3","MYST3"
"HTR3E","HTR3E"
"CNOT1","CNOT1"
"CARNS1","CARNS1;ATPGD1"
"MEGF11","MEGF11"
"BST1","BST1"
"GOLGA8IP","GOLGA8IP"
"PINLYP","PINLYP"
"CCDC88B","CCDC88B"
"EYA1","EYA1"
"FOXO6","FOXO6"
"MAP1LC3B2","MAP1LC3B2"
"KLHL33","KLHL33"
"RNF222","RNF222"
"NKX2-6","NKX2-6"
"IZUMO1R","IZUMO1R"
"OR14I1","OR14I1"
"ASPDH","ASPDH"
"PALM3","PALM3"
"PGP","PGP"
"TBC1D3B","TBC1D3B"
"TMEM8B","TMEM8B"
"ZRSR2","ZRSR2;OFD21;U2AF1-RS2;U2AF1L2;U2AF1RS2;URP;ZC3H22"
"MBD3L4","MBD3L4"
"BTBD17","BTBD17"
"WDR97","WDR97"
"CUL4B","CUL4B"
"NPEPPSL1","NPEPPSL1"
"PIGK","PIGK"
"POM121B","POM121B"
"MAPK8","MAPK8"
"CCDC182","CCDC182"
"TRABD2B","TRABD2B;TIKI2"
"KCNIP2","KCNIP2"
"FABP12","FABP12"
"GRXCR2","GRXCR2"
"TCAF2","TCAF2;FAM115C;FAM139A;GATD9;GATD9B"
"DTNBP1","DTNBP1"
"SDHAF1","SDHAF1"
"WIPF3","WIPF3"
"URAD","URAD"
"C2orf71","C2orf71;RP54"
"OOEP","OOEP"
"HDAC8","HDAC8"
"GGT3P","GGT3P"
"STRCP1","STRCP1"
"ZWINT","ZWINT;HZwint-1;KNTC2AP;SIP30;ZWINT1"
"TVP23A","TVP23A"
"TRAF3","TRAF3"
"SNRPE","SNRPE"
"MOXD2P","MOXD2P"
"RC3H2","RC3H2;MNAB;RNF164"
"FBLL1","FBLL1"
"C17orf96","C17orf96"
"SMCHD1","SMCHD1"
"HMX3","HMX3"
"MSGN1","MSGN1;MSOG;pMsgn1"
"PGAP1","PGAP1"
"TMEM8C","TMEM8C"
"RTCA","RTCA"
"UNC119B","UNC119B"
"PHKA1","PHKA1;PHKA"
"PRDX2","PRDX2"
"WTIP","WTIP"
"A6NIZ1","A6NIZ1"
"NKX6-3","NKX6-3;NKX6.3"
"METTL15","METTL15"
"SAT1","SAT1"
"LRRC72","LRRC72"
"UNCX","UNCX"
"CD8BP","CD8BP"
"IRG1","IRG1;CAD"
"LIPT2","LIPT2"
"SLC22A20","SLC22A20"
"FCGR1C","FCGR1C"
"RP1L1","RP1L1"
"TSPY2","TSPY2"
"CCDC85C","CCDC85C"
"SDR42E2","SDR42E2"
"RGPD3","RGPD3"
"SHISA7","SHISA7"
"AQP7P3","AQP7P3"
"TCEB3CL2","TCEB3CL2"
"C2CD4B","C2CD4B;FAM148B;NLF2"
"FIGNL2","FIGNL2"
"DIAPH2","DIAPH2"
"FAM170B","FAM170B"
"DBX1","DBX1"
"HCRTR1","HCRTR1"
"EIF4E1B","EIF4E1B"
"ANXA2P2","ANXA2P2"
"COL6A6","COL6A6"
"GJE1","GJE1"
"NIPAL3","NIPAL3"
"DRGX","DRGX"
"IFITM5","IFITM5;BRIL;DSPA1;Hrmp1;OI5;fragilis4"
"DHRS7C","DHRS7C"
"USP27X","USP27X"
"UGGT2","UGGT2"
"TTLL8","TTLL8"
"MIOX","MIOX;ALDRL6"
"NCBP2L","NCBP2L"
"KNCN","KNCN"
"PPP2R4","PPP2R4"
"CLIC2","CLIC2"
"SELENBP1","SELENBP1;EHMTO;HEL-S-134P;LPSB;MTO;SBP56;SP56;hSBP"
"PSMD4","PSMD4"
"YJEFN3","YJEFN3"
"INS","INS"
"MCHR1","MCHR1"
"MYH7B","MYH7B;MHC14;MYH14;lncMYH7b"
"SOBP","SOBP"
"POM121C","POM121C"
"IFI27","IFI27"
"WASH1","WASH1"
"A2ML1","A2ML1;CPAMD9;OMS;p170"
"C15orf62","C15orf62"
"CLCA1","CLCA1"
"SFI1","SFI1"
"ERI2","ERI2"
"YDJC","YDJC"
"GABRR3","GABRR3"
"MLLT4","MLLT4"
"NEURL1B","NEURL1B"
"TMEM110-MUSTN1","TMEM110-MUSTN1"
"STRA13","STRA13"
"GNAT3","GNAT3"
"POT1","POT1"
"NOTO","NOTO"
"BBIP1","BBIP1;BBIP10;BBS18;NCRNA00081;bA348N5.3"
"SMTNL1","SMTNL1"
"HBE1","HBE1"
"ATP5J","ATP5J"
"LGALS16","LGALS16"
"RARA","RARA;NR1B1;RAR;RARalpha"
"PDXK","PDXK"
"NDUFA3","NDUFA3"
"BECN2","BECN2"
"MEI4","MEI4"
"KRBA2","KRBA2"
"GRXCR1","GRXCR1"
"P4HA2","P4HA2"
"COL4A6","COL4A6"
"NUDT19","NUDT19"
"PIK3C3","PIK3C3;VPS34;Vps34;hVps34"
"KCNU1","KCNU1"
"MAP2","MAP2"
"EVPLL","EVPLL"
"MBP","MBP"
"KPNA7","KPNA7;IPOA8;OZEMA17"
"AHRR","AHRR"
"TXNDC8","TXNDC8"
"MYO1G","MYO1G"
"NUP50","NUP50;NPAP60;NPAP60L"
"SUN2","SUN2"
"MKL1","MKL1"
"MGAT3","MGAT3"
"MIEF1","MIEF1"
"SLC16A8","SLC16A8;MCT3;REMP"
"TFEB","TFEB"
"HP1BP3","HP1BP3"
"ARCN1","ARCN1"
"HACD1","HACD1"
"TST","TST"
"TSPO","TSPO;BPBS;BZRP;DBI;IBP;MBR;PBR;PBS;PKBS;PTBR;TSPO1;mDRC;pk18"
"MCM5","MCM5"
"XRCC6","XRCC6"
"TPST2","TPST2"
"FBLN1","FBLN1"
"CAPZB","CAPZB"
"PISD","PISD;DJ858B16;LIBF;PSD;PSDC;PSSC;dJ858B16.2"
"MTOR","MTOR"
"SPTLC3","SPTLC3"
"PKN2","PKN2"
"PTBP3","PTBP3"
"MAPKAP1","MAPKAP1"
"ABCA1","ABCA1;ABC-1;ABC1;CERP;HDLCQTL13;HDLDT1;HPALP1;TGD"
"SEPT6","SEPT6"
"TRAF2","TRAF2"
"CHRM3","CHRM3"
"MTR","MTR"
"MAT1A","MAT1A"
"GUK1","GUK1;GMK;MTDPS21"
"FAF1","FAF1"
"CD55","CD55"
"LPAR1","LPAR1;EDG2;Gpcr26;LPA1;Mrec1.3;VZG1;edg-2;rec.1.3;vzg-1"
"PFKP","PFKP"
"PADI4","PADI4"
"HK1","HK1"
"LIN9","LIN9"
"SMPD4","SMPD4;NEDMABA;NEDMEBA;NET13;NSMASE-3;NSMASE3;SKNY"
"HIST1H2BI","HIST1H2BI"
"HEMK2","HEMK2"
"MYO9A","MYO9A"
"TMEM229A","TMEM229A"
"KDM4E","KDM4E;JMJD2E;KDM4DL;KDM5E"
"EPM2A","EPM2A"
"SAE1","SAE1"
"SYT9","SYT9"
"DPEP2","DPEP2"
"BCAT2","BCAT2;BCAM;BCATM;BCT2;HVLI;PP18"
"FNTA","FNTA"
"MFAP5","MFAP5"
"HARS","HARS"
"SLC12A6","SLC12A6"
"TMEM114","TMEM114"
"DBNL","DBNL"
"DNM1L","DNM1L"
"HAGHL","HAGHL"
"SERGEF","SERGEF"
"CLN3","CLN3"
"TIMP2","TIMP2;CSC-21K;DDC8"
"PAF1","PAF1"
"RXFP1","RXFP1"
"CTNNB1","CTNNB1"
"HPCAL4","HPCAL4"
"SCN1B","SCN1B"
"ERBIN","ERBIN;ERBB2IP;HEL-S-78;LAP2"
"NDUFS1","NDUFS1"
"SARS2","SARS2"
"ATE1","ATE1"
"NPY1R","NPY1R"
"CARS","CARS"
"CHURC1-FNTB","CHURC1-FNTB;FNTB;FTase-beta"
"B4DLN1","B4DLN1"
"SH2B1","SH2B1"
"DHFR","DHFR"
"UPP1","UPP1"
"PLAT","PLAT"
"PKM","PKM;CTHBP;HEL-S-30;OIP3;PK3;PKM2;TCB;THBP1;p58"
"IL6","IL6"
"VNN2","VNN2"
"TECR","TECR"
"SHISA9","SHISA9"
"METTL3","METTL3;IME4;M6A;MT-A70;Spo8;hMETTL3"
"ANGPT1","ANGPT1"
"CDH5","CDH5"
"MTAP","MTAP"
"VIL1","VIL1"
"PTK2","PTK2;FADK;FADK 1;FAK;FAK1;FRNK;PPP1R71;p125FAK;pp125FAK"
"EAF2","EAF2"
"RAD9B","RAD9B"
"NR1H3","NR1H3"
"TGFBR1","TGFBR1"
"MDH1B","MDH1B"
"ALLC","ALLC"
"MPI","MPI;ALK1;ALP;BLPI;HUSI;HUSI-I;WAP4;WFDC4"
"NFE2L1","NFE2L1"
"AMD1","AMD1"
"DFFB","DFFB"
"GATB","GATB;COXPD41;HSPC199;PET112;PET112L"
"PEX5","PEX5"
"TDG","TDG"
"LIG1","LIG1"
"WDR93","WDR93"
"RBPMS","RBPMS;HERMES"
"VEGFR3","VEGFR3"
"TCN2","TCN2"
"CRABP1","CRABP1"
"PES1","PES1"
"TRIM66","TRIM66;C11orf29;TIF1D;TIF1DELTA"
"TEAD3","TEAD3"
"NCOA1","NCOA1"
"SLC30A6","SLC30A6"
"ETV1","ETV1"
"D2HGDH","D2HGDH;D2HGD"
"EIF3CL","EIF3CL"
"MYOC","MYOC"
"KCNJ18","KCNJ18"
"GATA1","GATA1;CNSHA9;ERYF1;GATA-1;GF-1;GF1;HAEADA;NF-E1;NFE1;XLANP;XLTDA;XLTT"
"PPIP5K1","PPIP5K1"
"HMGCLL1","HMGCLL1"
"SLC27A1","SLC27A1"
"RAPGEF4","RAPGEF4"
"ATP6V0A1","ATP6V0A1"
"ACER3","ACER3;APHC;PHCA;PLDECO"
"UQCRB","UQCRB"
"COG2","COG2"
"SLC6A9","SLC6A9"
"SLC28A1","SLC28A1"
"CCBL1","CCBL1"
"GUCY1B3","GUCY1B3;GC-S-beta-1;GC-SB3;GUC1B3;GUCB3;GUCSB3"
"UBE4A","UBE4A"
"NMT1","NMT1"
"GPR89A","GPR89A"
"GALK2","GALK2"
"PPP1R3G","PPP1R3G"
"ALAD","ALAD;ALADH;PBGS"
"STX16","STX16"
"KIF28P","KIF28P"
"EPHA5","EPHA5"
"ATP1B4","ATP1B4"
"COX18","COX18;COX18HS;OXA1L2"
"FOXP3","FOXP3"
"ATP7B","ATP7B"
"ITPR1","ITPR1"
"IL1R1","IL1R1"
"ORC2","ORC2;ORC2L"
"AGPS","AGPS"
"GEMIN6","GEMIN6"
"MOGS","MOGS"
"LOXL3","LOXL3"
"NT5C3A","NT5C3A"
"KCNK3","KCNK3"
"ICA1","ICA1;ICA69;ICAp69"
"WASH3P","WASH3P"
"GCSAM","GCSAM"
"HAAO","HAAO"
"EXTL2","EXTL2"
"BUB1","BUB1;BUB1A;BUB1L;MCPH30;hBUB1"
"SLC29A4","SLC29A4"
"ELP6","ELP6"
"ASNSD1","ASNSD1"
"ALDH1L1","ALDH1L1"
"SPICE1","SPICE1;CCDC52;SPICE"
"CUTA","CUTA"
"NEU4","NEU4"
"LARS2","LARS2"
"RPE","RPE"
"KLHL24","KLHL24;CMH29;DRE1;EBS6;EBSSH;KRIP6"
"CCDC126","CCDC126"
"PFN2","PFN2"
"C22orf29","C22orf29"
"TFPI","TFPI"
"DCTN1","DCTN1;DAP-150;DP-150;HMND14;P135"
"ADCY1","ADCY1"
"CXCR2","CXCR2"
"ACVR1","ACVR1;ACTRI;ACVR1A;ACVRLK2;ALK2;FOP;SKR1;TSRI"
"BCS1L","BCS1L"
"EPC2","EPC2"
"ALG1L2","ALG1L2"
"POLM","POLM"
"MAST4","MAST4"
"NT5C1B-RDH14","NT5C1B-RDH14"
"BOC","BOC"
"ATPAF2","ATPAF2"
"ACHE","ACHE"
"CCNE1","CCNE1;CCNE;pCCNE1"
"SPAM1","SPAM1"
"POLR2B","POLR2B"
"NUDT1","NUDT1"
"IMPDH1","IMPDH1"
"WAS","WAS;IMD2;SCNX;THC;THC1;WASP;WASPA"
"ZAK","ZAK"
"TFDP2","TFDP2"
"NLGN1","NLGN1"
"LYG2","LYG2"
"C2orf49","C2orf49;asw"
"IDH1","IDH1"
"CXCL8","CXCL8"
"MAP3K13","MAP3K13"
"EIF5A2","EIF5A2"
"ATP6V1B1","ATP6V1B1;ATP6B1;DRTA2;RTA1B;VATB;VMA2;VPP3"
"PTGES3L-AARSD1","PTGES3L-AARSD1"
"IGF1R","IGF1R"
"PDHB","PDHB"
"SPP2","SPP2;GPATC5;GPATCH5;Mos2;Spp2;T54"
"SF1","SF1"
"RASA4B","RASA4B"
"DARS","DARS"
"TSEN2","TSEN2"
"CALD1","CALD1;CDM;H-CAD;HCAD;L-CAD;LCAD;NAG22;h-CD"
"JUP","JUP"
"MITF","MITF"
"LMOD2","LMOD2"
"ATP6V1E1","ATP6V1E1"
"SLC19A1","SLC19A1"
"ALDH5A1","ALDH5A1;SSADH;SSDH"
"RARRES2","RARRES2"
"COX17","COX17"
"GTPBP8","GTPBP8"
"ADAM10","ADAM10"
"GPR143","GPR143;NYS6;OA1"
"GLI3","GLI3"
"IL1RAP","IL1RAP"
"TOP3B","TOP3B"
"LAT2","LAT2"
"P2RY14","P2RY14"
"PLCD4","PLCD4"
"SLC47A2","SLC47A2"
"MREG","MREG"
"FXN","FXN"
"HYAL3","HYAL3"
"SIDT2","SIDT2;CGI-40"
"PSPH","PSPH"
"GART","GART"
"GLRA2","GLRA2;GLR;MRXSP"
"SHH","SHH"
"VIPR2","VIPR2"
"IDI1","IDI1"
"C1GALT1","C1GALT1"
"PATL2","PATL2"
"UXS1","UXS1;SDR6E1;UGD;hUXS;hUXS1"
"HHATL","HHATL"
"MDH1","MDH1"
"GPD1L","GPD1L"
"NCOR2","NCOR2"
"ROCK2","ROCK2"
"SLC26A3","SLC26A3;CLD;DRA"
"PELP1","PELP1"
"ODC1","ODC1"
"TYMP","TYMP"
"PCYOX1","PCYOX1"
"BPGM","BPGM"
"ELL3","ELL3"
"PTK2B","PTK2B"
"MRPS34","MRPS34"
"PFKFB4","PFKFB4"
"QTRT2","QTRT2"
"CAV1","CAV1;BSCL3;CGL3;LCCNS;MSTP085;PPH3;VIP21"
"ATIC","ATIC"
"CX3CR1","CX3CR1"
"APAF1","APAF1"
"CBS","CBS"
"FARP1","FARP1"
"HIP1","HIP1;HBP231;HIF-1;HIP-1;HSPC069;HYPB;KMT3A;LLS;MRD70;RAPAS;SET2;p231HBP"
"CYBRD1","CYBRD1"
"SLC26A8","SLC26A8"
"ABHD14A-ACY1","ABHD14A-ACY1"
"OXTR","OXTR"
"THRB","THRB"
"IL1R2","IL1R2;CD121b;CDw121b;IL-1R-2;IL-1RT-2;IL-1RT2;IL1R2c;IL1RB"
"CCRL2","CCRL2"
"PQBP1","PQBP1"
"IL5","IL5"
"ACTL6A","ACTL6A"
"NYAP1","NYAP1"
"C2orf88","C2orf88;smAKAP"
"PRMT5","PRMT5"
"IL36RN","IL36RN"
"HGD","HGD"
"EIF4A2","EIF4A2"
"PCCB","PCCB"
"TP63","TP63;AIS;B(p51A);B(p51B);EEC3;KET;LMS;NBP;OFC8;RHS;SHFM4;TP53CP;TP53L;TP73L;p40;p51;p53CP;p63;p73H;p73L"
"OPN4","OPN4"
"VSIG1","VSIG1"
"POP7","POP7"
"TYRP1","TYRP1"
"TNNT3","TNNT3"
"AHCYL2","AHCYL2;ADOHCYASE3;IRBIT2"
"CNP","CNP"
"GMNN","GMNN"
"OPRD1","OPRD1"
"AK4","AK4"
"PPP1R9B","PPP1R9B"
"SUPT4H1","SUPT4H1;SPT4;SPT4H;SUPT4H;Supt4a"
"TMEM23","TMEM23"
"CLDN5","CLDN5"
"KLRF2","KLRF2"
"PEMT","PEMT"
"GNPDA1","GNPDA1;GNP1;GNPDA;GNPI;GPI;HLN"
"CNGA1","CNGA1"
"TLR6","TLR6"
"HAUS3","HAUS3"
"SPP1","SPP1"
"ATP5G1","ATP5G1;ATP5A;ATP5G"
"KLHL3","KLHL3"
"ENPP6","ENPP6"
"DCTD","DCTD"
"RICTOR","RICTOR"
"BDH2","BDH2;DHRS6;EFA6R;PRO20933;SDR15C1;UCPA-OR;UNQ6308"
"NPHP4","NPHP4"
"TDO2","TDO2"
"TLR3","TLR3"
"ANAPC10","ANAPC10"
"SLC34A2","SLC34A2;NAPI-3B;NAPI-IIb;NPTIIb;NaPi2b;PULAM"
"TLR1","TLR1"
"NNT","NNT"
"RAPGEF2","RAPGEF2"
"HGFAC","HGFAC"
"LDB2","LDB2;CLIM1;LDB-2;LDB1"
"BMPR1B","BMPR1B"
"SPATA18","SPATA18"
"ANXA5","ANXA5;ANX5;CPB-I;ENX2;HEL-S-7;PP4;RPRGL3;VAC-alph"
"GC","GC"
"SNX2","SNX2"
"EIF4E","EIF4E"
"TGFBI","TGFBI"
"SDAD1","SDAD1"
"LIAS","LIAS;HGCLAS;HUSSY-01;LAS;LIP1;LS;PDHLD"
"DCK","DCK"
"DDIT4L","DDIT4L"
"OTULIN","OTULIN"
"NR3C1","NR3C1;GCCR;GCR;GCRST;GR;GRL"
"RRP1","RRP1"
"GOLPH3","GOLPH3"
"CPOX","CPOX"
"TTK","TTK"
"CHIT1","CHIT1"
"DPYSL3","DPYSL3;CRMP-4;CRMP4;DRP-3;DRP3;LCRMP;ULIP;ULIP-1"
"WNT8A","WNT8A"
"PAICS","PAICS"
"TRH","TRH"
"TWF2","TWF2"
"CCNH","CCNH"
"MCIDAS","MCIDAS;CILD42;IDAS;MCI;MCIN"
"ANKH","ANKH"
"GRPEL2","GRPEL2"
"MGAT4D","MGAT4D"
"CRHBP","CRHBP"
"TLR10","TLR10"
"SPINK2","SPINK2;HUSI-II;SPGF29"
"HMGCR","HMGCR"
"HMGCS1","HMGCS1"
"F2RL1","F2RL1;GPR11;PAR2"
"MTA3","MTA3"
"STAG3","STAG3"
"CIRBP","CIRBP"
"COQ2","COQ2"
"TRPS1","TRPS1"
"SARAF","SARAF;FOAP-7;HSPC035;TMEM66;XTP3"
"PENK","PENK"
"TOP1MT","TOP1MT"
"TMEM55A","TMEM55A"
"DPYSL2","DPYSL2"
"CEP57L1","CEP57L1"
"CALB1","CALB1;CALB;D-28K"
"TMEM30A","TMEM30A"
"TCF7","TCF7"
"NDST1","NDST1"
"NDRG1","NDRG1"
"EIF3E","EIF3E"
"SLC20A2","SLC20A2;GLVR-2;GLVR2;IBGC1;IBGC2;IBGC3;MLVAR;PIT-2;PIT2;RAM1;Ram-1"
"PIK3R1","PIK3R1"
"CHRAC1","CHRAC1"
"EXO1","EXO1"
"STAR","STAR"
"PDGFRB","PDGFRB"
"PMP2","PMP2;CMT1G;FABP8;M-FABP;MP2;P2"
"TNKS","TNKS"
"ATP6V0D2","ATP6V0D2"
"RDH10","RDH10"
"POLR3D","POLR3D"
"ENY2","ENY2;DC6;Sus1;e(y)2"
"ENPP2","ENPP2;ATX;ATX-X;AUTOTAXIN;LysoPLD;NPP2;PD-IALPHA;PDNP2"
"MSRA","MSRA"
"AZIN1","AZIN1"
"THG1L","THG1L"
"GM2A","GM2A"
"RARS","RARS;ArgRS;DALRD1;HLD9"
"MTMR7","MTMR7"
"POP1","POP1"
"HTR4","HTR4"
"VAPB","VAPB"
"GPD2","GPD2;GDH2;GPDM;mGDH;mGPDH"
"G6PD","G6PD"
"DEGS1","DEGS1"
"PPP1R2","PPP1R2"
"COMT","COMT"
"PRPF31","PRPF31;NY-BR-99;PRP31;RP11;SNRNP61"
"CASR","CASR"
"IL12A","IL12A"
"LHCGR","LHCGR"
"E7ENX8","E7ENX8"
"CFTR","CFTR;ABC35;ABCC7;CF;CFTR/MRP;MRP7;TNR-CFTR;dJ760C5.1"
"SNCA","SNCA"
"LTF","LTF"
"CORIN","CORIN"
"SLC40A1","SLC40A1"
"TH","TH;DYT14;DYT5b;TYH"
"CD74","CD74"
"DCC","DCC"
"ART3","ART3"
"GHRL","GHRL;MTLRP"
"EYA2","EYA2"
"RUVBL1","RUVBL1"
"PLOD2","PLOD2"
"E7EUB6","E7EUB6"
"DUS2","DUS2"
"PIEZO1","PIEZO1;DHS;ER;FAM38A;LMPH3;LMPHM6;Mib"
"EIF4G1","EIF4G1"
"SLC8A1","SLC8A1"
"BECN1","BECN1"
"SLC45A4","SLC45A4"
"SQLE","SQLE"
"ADRA1A","ADRA1A;ADRA1C;ADRA1L1;ALPHA1AAR"
"OPRM1","OPRM1"
"FUT2","FUT2"
"PTH1R","PTH1R"
"NAT2","NAT2"
"HYI","HYI"
"EIF4B","EIF4B;EIF-4B;PRO1843"
"TTLL4","TTLL4"
"NRP1","NRP1"
"PPP1R14D","PPP1R14D"
"ARHGEF10","ARHGEF10"
"EPN2","EPN2;EHB21"
"MTTP","MTTP"
"SEC24D","SEC24D"
"TOP2B","TOP2B"
"RCAN1","RCAN1"
"OXCT1","OXCT1"
"CDCA2","CDCA2;PPP1R81;Repo-Man"
"DLAT","DLAT"
"CSF1R","CSF1R"
"KIF3A","KIF3A;FLA10;KLP-20"
"DLD","DLD"
"NUP155","NUP155"
"ACYP2","ACYP2"
"UMPS","UMPS"
"GBE1","GBE1;APBD;GBE;GSD4"
"TCF4","TCF4"
"CCR2","CCR2"
"DHDDS","DHDDS"
"DIS3L","DIS3L;DIS3L1"
"FUT6","FUT6"
"CD59","CD59"
"PPT1","PPT1"
"LTB4R2","LTB4R2"
"STX17","STX17"
"CCKBR","CCKBR;CCK-2R;CCK-B;CCK2R;GASR"
